"id","estimate_id","pass","description","price"
236,179,,"Four wheel alignment",49.95
237,180,,"Install brake and rotor",82.50
238,181,,"Install gasket",44.00
239,182,,"Install own axles",137.50
240,183,,"Install own Ibeams",220.00
241,184,,"Install regulator and manifold set",132.00
242,184,,"Towing",40.00
243,186,,"Change own oil",11.00
244,186,,,
245,187,,"Lubrication",6.00
246,187,,"Install hose",27.50
247,188,,"Labor on fuse link",55.00
248,188,,,
249,189,,"Install own fuel filter",22.00
250,190,,,
251,190,,"Change own oil",16.00
252,191,,"Install spark plug",10.00
253,190,,,
254,192,,"Lube",6.00
255,192,,"Tire Repair",7.00
256,193,,"Install belts",55.00
257,194,,"Lube",6.00
258,194,,"Install spark plug",10.00
259,194,,"Install wiper motor",55.00
260,196,,"Labor on valve cover and manifold set",275.00
261,196,,,
262,197,,"Install own motor",500.00
263,198,,"Change own oil",11.00
264,199,,"Scan computer and install oxygen sensor",82.50
265,199,,"Labor on transmission lines",55.00
266,199,,,
267,200,,"Wheel alignment",0.00
268,201,,"Tighten bolts on power steering sector",27.50
269,201,,"Labor on left tie rod",55.00
270,200,,,
271,202,,"Labor on belt",27.50
272,202,,"Labor on spark plugs",33.00
273,202,,"Labor on transmission filter kit",33.00
274,202,,"Flush antifreeze",20.00
275,203,,,
276,204,0,,0.00
277,203,,,
278,205,,"Labor on oil leak",110.00
279,205,,"Labor on Tune up",82.50
280,205,,"Labor on belt",27.50
281,206,,"Install timing belt",43.00
282,207,,,
283,207,,,0.00
284,208,,"Install engine",300.00
285,209,,"Install brakes",25.00
286,209,,"Change own oil",16.00
287,209,,"Mount tires",6.00
288,209,,,
289,209,,,
290,208,,"Install center drag llink",66.00
291,208,,"Towing",25.00
292,210,,"Change own oil",16.00
293,211,,"Change own oil",16.00
294,206,,,
295,208,,,
296,209,,,
297,212,,"Install pittman shaft kit",82.50
298,213,,"Rotate tires",10.00
299,213,,"Install fuel filter",20.00
300,214,,"Install own master cylinder",0.00
301,214,,"Tire Repair",0.00
302,215,,,0.00
303,216,,"Wheel alignment",39.95
304,216,,"Install ball joints",225.50
305,217,,"Labor on company trucks",0.00
306,217,,,
307,217,,,
308,218,,"Labor on vehicles",0.00
309,218,,,
310,219,,"Balance Due on Account",0.00
311,219,,,
312,214,,,
313,220,,"Change own oil",16.00
314,221,0,,0.00
315,222,,"Change own oil and lube",16.00
316,169,,,
317,223,,"Scan computer and install fuel filter",27.50
318,224,,"Labor on tune up",82.50
319,169,,,
320,225,,"Install wire",27.50
321,226,,"Labor on power steering hose",93.50
322,226,,"Labor on hoses",27.50
323,227,,"Towing",65.00
324,227,,"Labor on fuse link and terminals",55.00
325,228,,"Install power steering pump",55.00
326,228,,"Install fuel filter",27.50
327,229,,"Clean air mass flow",55.00
328,230,,,0.00
329,231,,"Scan computer, check for hesitation and install own egr valve",0.00
330,,,,
331,,,,0.00
332,,,,
333,,,,
334,231,,,
335,232,,"All wheel alignment",49.95
336,233,,"Install strut and bearing plate",55.00
337,234,,"Install crank position sensor, diagnostic test, fuel pressure test, etc.",110.00
338,235,,"Labor on gear for window",82.50
339,236,,"Install switch",55.00
340,237,,"Install tie rod",38.50
341,237,,"Rotate tires",10.00
342,237,,"Wheel alignment",39.95
343,238,,,0.00
344,239,,"Tune up labor (own parts)",60.00
345,240,,"Labor on tune up (own parts)",150.00
346,241,,"Install front and rear brakes (own)",70.00
347,242,,,0.00
348,243,,"Towing",45.00
349,243,,"Install starter",55.00
350,244,,"Towing",0.00
351,244,,,
352,209,,,
353,245,,"Install ball joint",66.00
354,245,,"Wheel alignment",39.95
355,246,,"Lube",6.00
356,248,,,0.00
357,247,,"Install plugs and wires",71.50
358,108,,,
359,249,,"Labor on water pump, timing chain. Gasket set",225.00
360,249,,,
361,249,,,
362,237,,"Labor on steering knuckle",110.00
363,250,,"Scan computer and check ignition system",0.00
364,251,,"Labor on belts and hoses",38.50
365,252,,"Mount and balance tires",24.00
366,252,,"Tire user fee",5.00
367,252,,"Tire disposal fee",2.00
368,253,,"Labor on brakes",82.50
369,254,,"Check circuit breaker system",20.00
370,255,,"Check out transmission",27.50
371,250,,,
372,199,,,
373,256,,"Install sensors",85.00
374,256,,"Clean battery cables",10.00
375,257,,"Labor on oil pan",242.00
376,258,,"Install oil cooler lines and relay",55.00
377,259,,,0.00
378,259,,,
379,260,,"Install tie rod",30.00
380,260,,"Wheel alignment",30.00
381,260,,,
382,260,,,
383,261,,"Install heater core",100.00
384,262,,"Install own plugs and wires",55.00
385,263,,"Change oil (own) and lube",16.00
386,263,,"Install fuel filter",27.50
387,263,,"Install front shocks",44.00
388,263,,"Install rear shocks",38.50
389,264,,"Install Belt",27.50
390,265,,"Install oxygen sensor",82.50
391,266,,"Install oil level switch",27.50
392,266,,"Lubrication",6.00
393,266,,"Rotate Tires",10.00
394,266,,"Install Muffler and pipes",55.00
395,266,,"Convert old freon to new freon",127.50
397,266,,,
398,266,,,
409,266,,,
410,266,,,
411,268,,"Install ignition module",75.00
412,269,,"Install a/c hose",137.50
413,270,,"Install plugs and fuel filter",55.00
414,271,,"Install egr valve, vac solenoid, evap solenoid, oil cooler lines",165.00
415,272,,"Towing",45.00
416,272,,"Install own transmission",500.00
417,273,,"Install spark plugs",27.50
418,274,,"Scan computer and unplug knock sensor",27.50
419,275,,"Towing",45.00
420,275,,"Install own water pump",220.00
421,276,,"Install belt",27.50
422,277,,,0.00
423,278,,"Labor on master cylinder",55.00
424,278,,"Labor on tune up",55.00
425,278,,"Labor on window motor",82.50
426,278,,"Labor on window gear box",82.50
427,279,,,
428,279,,"Install own used transmission",275.00
429,,,,
430,,,,
431,279,,,
432,279,,,
433,261,,,
434,279,,,
435,272,,,
436,280,,"Labor on flushing radiator",20.00
437,280,,"Labor on belts",27.50
