"id","estimate_id","quantity","mfr_no","part_no","description","cost","price","pass2"
31845,15044,,,,,,,0
31846,15044,,,,,,,0
31847,15045,1,,,"Fittings and transmission line",12.00,20.00,0
31848,15046,1,,,"Driver side door lock actuator",101.90,150.00,0
31849,15047,1,,,"Antifreeze and elbow",31.65,49.56,0
31850,15048,1,,,"Rear brake pads",46.41,86.32,0
31851,15048,1,,,"Rear rotors",74.76,139.05,0
31852,15049,,,,,0.00,0.00,0
31853,13734,,,,,,,0
31854,13734,,,,,,,0
31855,15038,,,,,,,0
31856,15050,1,,,"Oil filter",1.79,8.00,0
31857,15051,1,,,"Oil filter",1.79,8.00,0
31858,15052,0,,,,0.00,0.00,0
31859,15053,1,,,"Rear brake pads",27.22,47.90,0
31860,15053,1,,,"Rear rotors",74.76,131.58,0
31861,15053,1,,,"Inner tie rod",39.72,69.90,0
31862,15054,1,,,"Two belts and belt tensioner",53.83,94.74,0
31863,15055,1,,,"Oil filter",1.79,8.00,0
31864,15056,1,,,"Flywheel",75.00,175.00,0
31865,15056,1,,,"Battery",64.95,84.95,0
31866,15056,1,,,"Plugs and wires",48.86,86.00,0
31867,15057,1,,,"Oil filter",1.79,8.00,0
31868,15058,1,,,"Rear brake pads",42.57,74.92,0
31869,15059,1,,,"Oil filter",1.79,8.00,0
31870,15060,0,,,,0.00,0.00,0
31871,15061,1,,,"Fuel filter",7.38,12.99,0
31872,15062,1,,,"Canister vent solenoid",105.55,160.98,0
31873,15063,0,,,,0.00,0.00,0
31874,15064,0,,,,0.00,0.00,0
31875,15065,0,,,,0.00,0.00,0
31876,15066,1,,,"Front brakes",27.26,47.98,0
31877,15066,1,,,"Front rotors",50.10,88.15,0
31878,15066,,,,,,,0
31879,15067,1,,,"Oil filter",1.79,8.00,0
31880,15068,0,,,,0.00,0.00,0
31881,15069,1,,,"Oil filter",4.00,11.64,0
31882,15069,1,,,"10 Quarts of Rotella 15w40",35.00,52.80,0
31883,15069,,,,,,,0
31884,15069,,,,,,,0
31885,15070,1,,,"Freeze plug",4.22,7.44,0
31886,15070,1,,,"Radiator",99.00,174.24,0
31887,15070,1,,,"Antifreeze",15.00,25.00,0
31888,15071,1,,,"Spark plugs",25.52,44.92,0
31889,15071,1,,,"Wires",40.04,63.15,0
31890,12123,,,,,,,0
31891,15072,1,,,"Oil filter",1.79,8.00,0
31892,15072,1,,,"Driver side door lock asembly",52.16,91.79,0
31893,15073,1,,,"Oil filter",1.79,8.00,0
31894,15074,0,,,,,0.00,0
31895,14815,,,,,,,0
31896,15040,1,,,"Radiator - Part #:YC3Z5A212AA",174.47,289.48,0
31897,15040,1,,,"Rear hatch supports - Part #YC3Z78406A10BA",48.35,76.30,0
31898,15040,,,,,,,0
31899,15075,1,,,"Fuse for the horn",1.00,2.00,0
31900,15076,1,,,"Oil filter",1.79,8.00,0
