id,customer_id,make,model,year,engine,drive_type,fleet_no
175,92,"Chevy","S10`","2001",,,
176,159,"Lincoln","Town Car","1993",,,
177,160,"Pontiac","Montana","2003",,,
178,161,"Ford","Truck",,,,
179,162,"Sonoma",,,,,
180,93,,,,,,
181,162,"S10",,"1998",,,
182,164,"Ford","TAURUS","1996",,,
183,162,"Lincoln","Town Car","2000",,,
184,166,"Mercury","Sable","2000",,,
185,167,"Chevy","Astro Van","1996",,,
186,168,"Ford","Taurus","1991",,,
187,169,"Chevy","Lumina","1992",,,
188,22,"Ford","F150","2004",,,
189,170,"Truck",,,,,
190,171,"Chevy","Lumina","1993",,,
191,172,"Chevy","Lumina","1993",,,
192,173,"Ford","F250","1989","460 engine",,
193,174,"Chevy","Venture Van","1997",,,
194,171,"Chevy","Lumina","1995",,,
195,176,"Chevy","S10","2000",,,
196,177,"Hyundai","Sonata","2000",,,
197,178,"Dodge","Ram","1999",,,
198,179,"Ford","Explorer","2001",,,
199,180,"Chevy","Caprice","1989",,,
200,182,"Lincoln","Town Car","1997",,,
201,183,"Dodge",,"1994",,,
202,19,"Mitsubishi",,"1994",,,
203,184,"Ford","Tauras","1999",,,
204,185,"Buick","LaSabre","1996",,,
205,83,"Chevy","Astro Van","2000",,,
206,186,"Dodge","Caravan","2002",,,
207,187,"Chevy","1500",,,,
208,189,"Chevy","Blazer","1988",,,
209,32,"Hyundai",,,,,
210,2971,"Plymouth","Breeze","1997",,,
211,192,"Mercury","Cougar","1996",,,
212,193,"Chrysler","Van","1992",,,
213,194,"Ford","Excursion","2001",,,
214,195,"Cadillac",,,,,
215,196,"Chevy","Cavalier","1992",,,
216,796,"Ford","Ranger","1992",,,
219,199,"Jeep","Grand Cherokee","1995",,,
220,119,"Chevy","Caprice","1996",,,
221,1862,"Sable Wagon",,"1993",,,
222,201,"Pontiac","Sunbird","1990",,,
223,202,"Chevy","Corsica","1996",,,
224,203,"Cadillac","Fleetwood","1990",,,
225,204,"Lincoln","Mark VIII","1994",,,
226,205,"Chevy","S10","1996","2.2",,
227,206,"Ford","F150","1990",,,
228,207,"Buick","Regal","1995",,,
229,208,"Dodge","Intrepid","1997",,,
230,209,"Ford","Ranger","1993","3.0L",,
231,210,"Chevy","Camero","2001",,,
232,48,"Ford","Edge","2007",,,
233,212,"Chevy","Beretta","1995",,,
234,212,,,,,,
235,213,"Dodge","VAN","2001","5.2",,
236,214,"Ford","Ranger","1992",,,
237,215,"Ford","Crown Victoria","1998",,,
238,216,"Dodge","Dynasty","1993",,,
239,217,"Ford","Escape","2003",,,
240,218,"Chevy","Monte Carlo","1997",,,
241,219,"Chevy","Truck","1998",,,
242,93,"Outback","Subaru","2002",,,
243,221,"Chevy","Truck","1997",,,
244,162,"S10","Truck #32",,,,
245,222,"Mark VIII",,,,,
246,223,,,"1997",,,
247,224,"Chevy","Cavalier","2001",,,
248,225,"Toyota","Camry","1987",,,
249,226,"Dodge","Caravan","1994",,,
250,227,"Buick","Century","1999",,,
251,228,"Dodge","Intrepid","1999",,,
252,230,"Hyundai","Sonata","1998",,,
253,232,"Company vehicles",,,,,
254,183,"Company Vehicles",,,,,
255,233,"Dodge","Truck","1986",,,
256,234,"Dodge","Intrepid",,,,
257,235,"Ford","Ranger","1995",,,
258,236,"Dodge","Lancer","1987",,,
259,237,"Dodge","Neon","1997",,,
260,238,"Chevy","Monte Carlo","1975",,,
261,4752,".",".",".",".",".",
262,240,"Chevy","S10","2001",,,
263,241,"Chrysler","Concorde","1997",,,
264,242,"Nissan","Sentra",,,,
265,243,"Chevy","Lumina","1991",,,
266,232,,,,,,
267,244,"Ford","Expedition","2000",,,
268,177,,,,,,
269,245,"Toyota",,,,,
270,246,"GMC","Cierra","2000","5.3",,
271,232,,,,,,
272,83,,,,,,
273,67,"Dodge","RV","1977",,,
274,170,"Chevy","Camero","1989",,,
275,247,"Dodge","Stratus","2001",,,
276,247,,,,,,
277,16,,,,,,
278,125,,,,,,
279,248,"Buick","Park Avenue","1992",,,
280,233,,,,,,
281,249,"Lincoln","Town Car","1986",,,
282,250,"GMC","Truck","1988",,,
283,251,"Ford","Taurus","1996",,,
284,252,"Chevy","S10","1998",,,
285,253,"Ford","F150","1995",,,
286,254,"Chevy","1500","1994",,,
287,18,"Honda","Accord","1991",,,
288,20,,,,,,
289,32,,,,,,
290,150,,,,,,
291,256,,,,,,
292,257,"Ford","350 Van","2000",,,
293,258,,"Van","1985",,,
294,166,,,,,,
295,259,"Ford","Contour","1997",,,
296,260,"Pontiac`","Grand Am","1996",,,
297,260,"Chevy","Astro Van","1994",,,
298,261,"Mercury","Sable","1995",,,
299,262,"Mercury","Grand Marquis","2002",,,
300,263,"Ford","Van","1998",,,
301,264,"9","Monte Carlo","2002",,,
302,265,"Pontiac","Grand Am","1992","3.3",,
303,266,"Chevy","Van","1996",,,
304,267,"Olds","Regency","1981",,,
305,268,"Ford","Taurus",,,,
306,233,"Jeep","Cherokee","1998",,,
